ticket_id,created_at,customer_id,Customer Segment,channel,Product Area,issue_type,priority,status,sla_plan,Resolution Time (Hours),customer_sentiment,CSAT Score,platform,region,year,month,month_name,day,ticket_age_days,resolution_bucket,csat_percent,region_grouped,sla_breached
TCKT_070914,2022-01-01 07:55:26,CUST_00149,Non_Profit,In_App,Login_Auth,Security_Concern,Low,Resolved,Gold,66.37,Negative,2,Ios,Eu,2022,1,January,1,1490,2–3 days,40.0,Eu,Yes
TCKT_018271,2022-01-01 08:52:17,CUST_01656,Small_Business,Phone_Transcript,Login_Auth,Bug,Low,In Progress,Standard,29.91,Very_Negative,2,Api_Client,Latam,2022,1,January,1,1490,1–2 days,40.0,Latam,No
TCKT_008592,2022-01-01 09:05:14,CUST_00496,Non_Profit,Web_Form,Mobile_App,Feature_Request,Low,In Progress,Standard,29.91,Neutral,4,Ios,Eu,2022,1,January,1,1490,1–2 days,80.0,Eu,No
TCKT_050471,2022-01-01 09:05:51,CUST_09947,Education,Web_Form,Api_Integration,How_To,Low,Resolved,Standard,56.49,Neutral,4,Web,Apac,2022,1,January,1,1490,2–3 days,80.0,Apac,Yes
TCKT_045352,2022-01-01 09:06:48,CUST_08107,Small_Business,Chat,Billing,Bug,High,Resolved,Standard,10.26,Positive,5,Api_Client,Apac,2022,1,January,1,1490,<12h,100.0,Apac,No
TCKT_081461,2022-01-01 09:10:42,CUST_03319,Non_Profit,In_App,Analytics_Dashboard,How_To,Medium,Resolved,Standard,27.07,Very_Negative,1,Web,Unknown,2022,1,January,1,1490,1–2 days,20.0,Unknown,No
TCKT_049255,2022-01-01 09:12:16,CUST_03185,Education,Email,Api_Integration,Feature_Request,Medium,Closed No Action,Platinum,151.14,Neutral,3,Api_Client,Unknown,2022,1,January,1,1490,3–7 days,60.0,Unknown,Yes
TCKT_085079,2022-01-01 09:24:59,CUST_06268,Small_Business,Email,Data_Export,Account_Access,High,Closed No Action,Gold,77.4,Neutral,4,Desktop_App,Eu,2022,1,January,1,1490,3–7 days,80.0,Eu,Yes
TCKT_007390,2022-01-01 09:54:13,CUST_07319,Small_Business,Email,Mobile_App,How_To,Low,Resolved,Gold,70.62,Very_Positive,5,Api_Client,Latam,2022,1,January,1,1490,2–3 days,100.0,Latam,Yes
TCKT_096292,2022-01-01 10:48:21,CUST_07499,Non_Profit,Phone_Transcript,Billing,Bug,High,Resolved,Gold,9.94,Positive,5,Android,Unknown,2022,1,January,1,1490,<12h,100.0,Unknown,No
TCKT_041806,2022-01-01 11:25:58,CUST_05852,Small_Business,In_App,Notifications,Other,Medium,Resolved,Standard,17.89,Very_Negative,1,Desktop_App,Unknown,2022,1,January,1,1490,12–24h,20.0,Unknown,No
TCKT_045661,2022-01-01 11:37:03,CUST_00587,Small_Business,Web_Form,Data_Export,Feature_Request,Low,In Progress,Standard,29.91,Positive,5,Ios,Mea,2022,1,January,1,1490,1–2 days,100.0,Mea,No
TCKT_012311,2022-01-01 13:07:59,CUST_05381,Non_Profit,Phone_Transcript,Mobile_App,Billing_Problem,Low,Closed No Action,Gold,59.62,Very_Negative,0,Ios,Eu,2022,1,January,1,1489,2–3 days,0.0,Eu,Yes
TCKT_000314,2022-01-01 13:52:56,CUST_03833,Non_Profit,Phone_Transcript,Notifications,Bug,Low,On Hold,Gold,29.91,Negative,0,Desktop_App,Apac,2022,1,January,1,1489,1–2 days,0.0,Apac,No
TCKT_027114,2022-01-01 14:48:47,CUST_08717,Education,Chat,Mobile_App,Performance,Low,Resolved,Standard,52.23,Neutral,3,Ios,Latam,2022,1,January,1,1489,2–3 days,60.0,Latam,Yes
TCKT_066576,2022-01-01 15:14:08,CUST_06816,Enterprise,Phone_Transcript,Data_Export,Feature_Request,Medium,Resolved,Standard,42.56,Positive,0,Web,Eu,2022,1,January,1,1489,1–2 days,0.0,Eu,No
TCKT_048157,2022-01-01 16:21:14,CUST_08846,Education,Chat,Login_Auth,Performance,Low,Resolved,Gold,54.82,Very_Negative,0,Ios,Apac,2022,1,January,1,1489,2–3 days,0.0,Apac,Yes
TCKT_057688,2022-01-01 17:25:01,CUST_03529,Education,Chat,Login_Auth,Billing_Problem,Low,Resolved,Standard,28.53,Negative,2,Ios,Eu,2022,1,January,1,1489,1–2 days,40.0,Eu,No
TCKT_022965,2022-01-01 17:38:14,CUST_05792,Non_Profit,Web_Form,Billing,Security_Concern,Medium,Resolved,Standard,5.15,Neutral,3,Ios,Eu,2022,1,January,1,1489,<12h,60.0,Eu,No
TCKT_075279,2022-01-01 17:56:52,CUST_09179,Enterprise,Email,Billing,Account_Access,Low,Resolved,Standard,13.65,Negative,3,Android,Unknown,2022,1,January,1,1489,12–24h,60.0,Unknown,No
TCKT_011130,2022-01-01 17:58:55,CUST_08072,Small_Business,Chat,Login_Auth,Bug,Urgent,Resolved,Standard,3.27,Neutral,4,Desktop_App,Eu,2022,1,January,1,1489,<12h,80.0,Eu,No
TCKT_016087,2022-01-01 18:29:48,CUST_04673,Small_Business,Chat,Notifications,Other,High,Resolved,Standard,10.33,Positive,4,Api_Client,Apac,2022,1,January,1,1489,<12h,80.0,Apac,No
TCKT_032140,2022-01-01 18:51:43,CUST_04183,Individual,Web_Form,Login_Auth,Billing_Problem,Medium,In Progress,Gold,29.91,Very_Negative,1,Web,Latam,2022,1,January,1,1489,1–2 days,20.0,Latam,No
TCKT_004965,2022-01-01 19:30:10,CUST_03833,Individual,Web_Form,Login_Auth,Bug,Medium,Resolved,Gold,29.96,Neutral,4,Ios,Eu,2022,1,January,1,1489,1–2 days,80.0,Eu,No
TCKT_075253,2022-01-01 19:33:34,CUST_07747,Enterprise,Phone_Transcript,Notifications,Account_Access,High,Open,Platinum,29.91,Very_Negative,1,Android,Eu,2022,1,January,1,1489,1–2 days,20.0,Eu,No
TCKT_004594,2022-01-01 19:57:52,CUST_09044,Non_Profit,Web_Form,Api_Integration,Performance,Medium,Resolved,Standard,45.11,Negative,3,Api_Client,Eu,2022,1,January,1,1489,1–2 days,60.0,Eu,No
TCKT_088708,2022-01-01 20:10:15,CUST_01864,Small_Business,Chat,Api_Integration,Feature_Request,Low,Closed No Action,Standard,216.11,Positive,0,Web,Latam,2022,1,January,1,1489,7+ days,0.0,Latam,Yes
TCKT_058132,2022-01-01 20:34:21,CUST_05252,Non_Profit,Phone_Transcript,Api_Integration,Other,Medium,Resolved,Standard,41.93,Very_Negative,1,Api_Client,Mea,2022,1,January,1,1489,1–2 days,20.0,Mea,No
TCKT_009032,2022-01-01 21:38:25,CUST_08202,Non_Profit,Email,Api_Integration,Security_Concern,High,In Progress,Standard,29.91,Neutral,4,Android,Apac,2022,1,January,1,1489,1–2 days,80.0,Apac,No
TCKT_019971,2022-01-01 22:20:13,CUST_07367,Non_Profit,Email,Login_Auth,Performance,Low,Open,Standard,29.91,Very_Negative,0,Api_Client,Eu,2022,1,January,1,1489,1–2 days,0.0,Eu,No
TCKT_022036,2022-01-01 22:36:39,CUST_00924,Small_Business,In_App,Analytics_Dashboard,Billing_Problem,Low,Resolved,Gold,15.62,Very_Negative,2,Api_Client,Apac,2022,1,January,1,1489,12–24h,40.0,Apac,No
TCKT_045991,2022-01-01 22:55:16,CUST_05728,Non_Profit,Phone_Transcript,Mobile_App,How_To,High,Closed No Action,Standard,207.81,Positive,5,Api_Client,Apac,2022,1,January,1,1489,7+ days,100.0,Apac,Yes
TCKT_097834,2022-01-01 23:03:42,CUST_08531,Individual,Phone_Transcript,Login_Auth,Other,Medium,In Progress,Gold,29.91,Positive,4,Ios,Latam,2022,1,January,1,1489,1–2 days,80.0,Latam,No
TCKT_011073,2022-01-02 00:26:18,CUST_08493,Education,Email,Data_Export,Bug,Medium,Resolved,Platinum,41.87,Very_Negative,0,Ios,Unknown,2022,1,January,2,1489,1–2 days,0.0,Unknown,No
TCKT_089138,2022-01-02 00:29:31,CUST_04562,Individual,Email,Data_Export,Bug,Medium,Open,Gold,29.91,Negative,3,Desktop_App,Unknown,2022,1,January,2,1489,1–2 days,60.0,Unknown,No
TCKT_015497,2022-01-02 01:08:44,CUST_05946,Small_Business,In_App,Notifications,Security_Concern,Medium,Resolved,Gold,19.41,Positive,0,Web,Mea,2022,1,January,2,1489,12–24h,0.0,Mea,No
TCKT_010655,2022-01-02 02:21:10,CUST_03873,Individual,Phone_Transcript,Notifications,How_To,High,Resolved,Standard,3.19,Neutral,3,Api_Client,Eu,2022,1,January,2,1489,<12h,60.0,Eu,No
TCKT_002481,2022-01-02 02:28:44,CUST_07797,Individual,Phone_Transcript,Billing,Security_Concern,High,Resolved,Standard,21.47,Very_Positive,0,Desktop_App,Unknown,2022,1,January,2,1489,12–24h,0.0,Unknown,No
TCKT_025468,2022-01-02 03:42:14,CUST_09517,Small_Business,Web_Form,Notifications,Billing_Problem,Low,Resolved,Standard,37.86,Negative,0,Android,Latam,2022,1,January,2,1489,1–2 days,0.0,Latam,No
TCKT_057212,2022-01-02 03:45:30,CUST_09761,Individual,Chat,Billing,Performance,Medium,Resolved,Standard,33.33,Neutral,3,Ios,Apac,2022,1,January,2,1489,1–2 days,60.0,Apac,No
TCKT_042513,2022-01-02 03:57:39,CUST_00432,Non_Profit,Phone_Transcript,Notifications,How_To,High,Closed No Action,Standard,26.94,Positive,0,Web,Mea,2022,1,January,2,1489,1–2 days,0.0,Mea,No
TCKT_094195,2022-01-02 04:58:27,CUST_05329,Education,Email,Data_Export,How_To,Low,Resolved,Standard,64.71,Negative,2,Web,Apac,2022,1,January,2,1489,2–3 days,40.0,Apac,Yes
TCKT_066627,2022-01-02 05:21:49,CUST_00954,Education,Email,Api_Integration,Account_Access,Low,On Hold,Standard,29.91,Neutral,0,Desktop_App,Mea,2022,1,January,2,1489,1–2 days,0.0,Mea,No
TCKT_001927,2022-01-02 05:35:00,CUST_08268,Enterprise,Email,Mobile_App,Other,Low,Closed No Action,Platinum,84.34,Positive,5,Android,Apac,2022,1,January,2,1489,3–7 days,100.0,Apac,Yes
TCKT_038523,2022-01-02 05:51:08,CUST_03974,Small_Business,In_App,Data_Export,Account_Access,Low,Resolved,Standard,63.21,Positive,0,Api_Client,Mea,2022,1,January,2,1489,2–3 days,0.0,Mea,Yes
TCKT_048817,2022-01-02 05:58:34,CUST_05087,Small_Business,In_App,Data_Export,Feature_Request,Medium,Closed No Action,Gold,108.39,Neutral,0,Android,Latam,2022,1,January,2,1489,3–7 days,0.0,Latam,Yes
TCKT_078474,2022-01-02 06:21:00,CUST_06558,Individual,Phone_Transcript,Analytics_Dashboard,Other,Medium,On Hold,Standard,29.91,Neutral,3,Api_Client,Mea,2022,1,January,2,1489,1–2 days,60.0,Mea,No
TCKT_027808,2022-01-02 06:31:35,CUST_08200,Education,Phone_Transcript,Data_Export,Performance,Medium,Resolved,Gold,40.55,Negative,2,Web,Apac,2022,1,January,2,1489,1–2 days,40.0,Apac,No
TCKT_008620,2022-01-02 07:11:02,CUST_05354,Education,In_App,Notifications,Billing_Problem,Low,Resolved,Gold,33.57,Negative,3,Web,Apac,2022,1,January,2,1489,1–2 days,60.0,Apac,No
TCKT_055907,2022-01-02 08:30:50,CUST_02687,Enterprise,Web_Form,Billing,Billing_Problem,Low,Resolved,Standard,70.59,Neutral,3,Android,Latam,2022,1,January,2,1489,2–3 days,60.0,Latam,Yes
TCKT_033007,2022-01-02 08:35:44,CUST_00411,Non_Profit,Email,Notifications,Bug,Low,Resolved,Gold,38.85,Negative,0,Android,Unknown,2022,1,January,2,1489,1–2 days,0.0,Unknown,No
TCKT_025841,2022-01-02 08:51:14,CUST_08011,Education,Web_Form,Data_Export,Billing_Problem,Low,In Progress,Standard,29.91,Negative,2,Desktop_App,Unknown,2022,1,January,2,1489,1–2 days,40.0,Unknown,No
TCKT_033749,2022-01-02 08:57:14,CUST_00844,Enterprise,In_App,Mobile_App,Security_Concern,Medium,Resolved,Gold,26.33,Negative,0,Ios,Eu,2022,1,January,2,1489,1–2 days,0.0,Eu,No
TCKT_020043,2022-01-02 09:01:59,CUST_06167,Non_Profit,Chat,Login_Auth,Feature_Request,Medium,On Hold,Standard,29.91,Positive,0,Api_Client,Mea,2022,1,January,2,1489,1–2 days,0.0,Mea,No
TCKT_083916,2022-01-02 09:34:03,CUST_00333,Enterprise,Email,Api_Integration,Performance,Low,On Hold,Standard,29.91,Very_Negative,2,Android,Eu,2022,1,January,2,1489,1–2 days,40.0,Eu,No
TCKT_030943,2022-01-02 10:15:20,CUST_08107,Non_Profit,Email,Data_Export,Performance,Low,Resolved,Platinum,53.14,Negative,0,Ios,Apac,2022,1,January,2,1489,2–3 days,0.0,Apac,Yes
TCKT_036770,2022-01-02 10:57:40,CUST_02905,Individual,Chat,Notifications,Account_Access,Low,Resolved,Standard,30.6,Very_Negative,2,Desktop_App,Unknown,2022,1,January,2,1489,1–2 days,40.0,Unknown,No
TCKT_074316,2022-01-02 11:48:40,CUST_05184,Enterprise,Web_Form,Notifications,Other,Low,Resolved,Standard,29.25,Neutral,0,Ios,Apac,2022,1,January,2,1489,1–2 days,0.0,Apac,No
TCKT_014586,2022-01-02 12:35:26,CUST_07408,Enterprise,In_App,Billing,Account_Access,Low,Open,Standard,29.91,Very_Negative,2,Android,Latam,2022,1,January,2,1489,1–2 days,40.0,Latam,No
TCKT_000449,2022-01-02 12:38:56,CUST_01269,Non_Profit,Chat,Analytics_Dashboard,How_To,Medium,On Hold,Standard,29.91,Very_Negative,2,Android,Apac,2022,1,January,2,1489,1–2 days,40.0,Apac,No
TCKT_019776,2022-01-02 12:40:56,CUST_05946,Non_Profit,Web_Form,Login_Auth,Other,High,Resolved,Gold,19.17,Negative,2,Desktop_App,Eu,2022,1,January,2,1489,12–24h,40.0,Eu,No
TCKT_065789,2022-01-02 13:17:54,CUST_03099,Education,Email,Analytics_Dashboard,Account_Access,Low,Open,Standard,29.91,Neutral,4,Android,Latam,2022,1,January,2,1488,1–2 days,80.0,Latam,No
TCKT_005720,2022-01-02 13:26:15,CUST_01711,Individual,In_App,Login_Auth,Account_Access,Low,In Progress,Gold,29.91,Very_Negative,2,Web,Eu,2022,1,January,2,1488,1–2 days,40.0,Eu,No
TCKT_078023,2022-01-02 13:40:05,CUST_04578,Education,Web_Form,Login_Auth,Account_Access,Low,Open,Standard,29.91,Negative,2,Api_Client,Mea,2022,1,January,2,1488,1–2 days,40.0,Mea,No
TCKT_017557,2022-01-02 14:36:27,CUST_03369,Education,Web_Form,Analytics_Dashboard,Billing_Problem,Medium,Resolved,Standard,46.27,Very_Positive,5,Desktop_App,Eu,2022,1,January,2,1488,1–2 days,100.0,Eu,No
TCKT_044505,2022-01-02 15:23:50,CUST_06807,Non_Profit,Phone_Transcript,Analytics_Dashboard,How_To,Low,Resolved,Gold,49.83,Positive,5,Api_Client,Unknown,2022,1,January,2,1488,2–3 days,100.0,Unknown,Yes
TCKT_044193,2022-01-02 15:43:05,CUST_06701,Individual,Email,Billing,Billing_Problem,Low,Resolved,Gold,32.27,Neutral,4,Ios,Mea,2022,1,January,2,1488,1–2 days,80.0,Mea,No
TCKT_017227,2022-01-02 16:29:12,CUST_05884,Enterprise,Chat,Mobile_App,How_To,Low,In Progress,Standard,29.91,Positive,5,Web,Unknown,2022,1,January,2,1488,1–2 days,100.0,Unknown,No
TCKT_002361,2022-01-02 16:40:51,CUST_05447,Enterprise,Web_Form,Login_Auth,Billing_Problem,Medium,In Progress,Gold,29.91,Negative,0,Android,Apac,2022,1,January,2,1488,1–2 days,0.0,Apac,No
TCKT_099256,2022-01-02 17:20:44,CUST_07160,Small_Business,Chat,Login_Auth,Performance,Medium,On Hold,Standard,29.91,Negative,0,Api_Client,Eu,2022,1,January,2,1488,1–2 days,0.0,Eu,No
TCKT_036968,2022-01-02 19:11:09,CUST_00077,Small_Business,In_App,Billing,Other,Low,Open,Standard,29.91,Neutral,0,Ios,Mea,2022,1,January,2,1488,1–2 days,0.0,Mea,No
TCKT_041400,2022-01-02 19:17:27,CUST_06631,Individual,Web_Form,Billing,Bug,Low,Resolved,Standard,69.64,Very_Positive,5,Web,Eu,2022,1,January,2,1488,2–3 days,100.0,Eu,Yes
TCKT_092335,2022-01-02 20:15:38,CUST_02556,Non_Profit,In_App,Mobile_App,Account_Access,Medium,Resolved,Standard,17.47,Negative,0,Web,Unknown,2022,1,January,2,1488,12–24h,0.0,Unknown,No
TCKT_019053,2022-01-02 20:21:12,CUST_01412,Individual,Email,Billing,Billing_Problem,Low,Resolved,Standard,49.63,Very_Negative,2,Api_Client,Mea,2022,1,January,2,1488,2–3 days,40.0,Mea,Yes
TCKT_045278,2022-01-02 20:25:18,CUST_05078,Enterprise,In_App,Data_Export,Other,Medium,On Hold,Platinum,29.91,Negative,3,Android,Eu,2022,1,January,2,1488,1–2 days,60.0,Eu,No
TCKT_063953,2022-01-02 20:43:51,CUST_08814,Non_Profit,Web_Form,Login_Auth,Billing_Problem,Medium,Resolved,Standard,5.88,Positive,0,Api_Client,Unknown,2022,1,January,2,1488,<12h,0.0,Unknown,No
TCKT_050181,2022-01-02 20:45:22,CUST_07588,Non_Profit,Chat,Data_Export,Security_Concern,Medium,In Progress,Standard,29.91,Negative,2,Web,Apac,2022,1,January,2,1488,1–2 days,40.0,Apac,No
TCKT_024207,2022-01-02 21:15:24,CUST_04389,Education,Phone_Transcript,Billing,Bug,High,Resolved,Standard,13.61,Negative,2,Api_Client,Eu,2022,1,January,2,1488,12–24h,40.0,Eu,No
TCKT_015027,2022-01-02 21:35:09,CUST_06425,Non_Profit,In_App,Login_Auth,Billing_Problem,High,Resolved,Standard,5.04,Positive,0,Web,Apac,2022,1,January,2,1488,<12h,0.0,Apac,No
TCKT_015018,2022-01-02 21:38:30,CUST_04328,Non_Profit,In_App,Billing,Billing_Problem,High,Resolved,Gold,12.17,Positive,4,Android,Mea,2022,1,January,2,1488,12–24h,80.0,Mea,No
TCKT_019401,2022-01-02 21:52:53,CUST_06018,Individual,Chat,Api_Integration,Other,Medium,Open,Standard,29.91,Neutral,0,Android,Unknown,2022,1,January,2,1488,1–2 days,0.0,Unknown,No
TCKT_013388,2022-01-02 21:55:53,CUST_07745,Small_Business,Email,Billing,Billing_Problem,Medium,On Hold,Gold,29.91,Very_Negative,1,Ios,Latam,2022,1,January,2,1488,1–2 days,20.0,Latam,No
TCKT_068385,2022-01-02 21:57:37,CUST_03336,Individual,Chat,Login_Auth,Bug,Medium,Resolved,Gold,38.7,Neutral,4,Android,Eu,2022,1,January,2,1488,1–2 days,80.0,Eu,No
TCKT_015671,2022-01-02 22:17:15,CUST_07514,Non_Profit,Chat,Billing,Performance,Low,Resolved,Standard,25.53,Negative,2,Ios,Eu,2022,1,January,2,1488,1–2 days,40.0,Eu,No
TCKT_079376,2022-01-02 22:41:16,CUST_09091,Individual,Email,Login_Auth,Feature_Request,Urgent,Resolved,Standard,5.89,Neutral,0,Ios,Apac,2022,1,January,2,1488,<12h,0.0,Apac,No
TCKT_075446,2022-01-02 22:48:39,CUST_06943,Education,Web_Form,Api_Integration,Billing_Problem,Medium,On Hold,Standard,29.91,Very_Negative,0,Desktop_App,Mea,2022,1,January,2,1488,1–2 days,0.0,Mea,No
TCKT_069566,2022-01-02 23:49:47,CUST_01746,Small_Business,In_App,Api_Integration,Other,Low,Resolved,Standard,15.5,Positive,5,Desktop_App,Unknown,2022,1,January,2,1488,12–24h,100.0,Unknown,No
TCKT_034292,2022-01-03 00:40:10,CUST_04220,Small_Business,Chat,Analytics_Dashboard,Account_Access,Low,On Hold,Gold,29.91,Negative,0,Desktop_App,Apac,2022,1,January,3,1488,1–2 days,0.0,Apac,No
TCKT_072315,2022-01-03 01:26:37,CUST_04475,Non_Profit,Web_Form,Api_Integration,Bug,Low,In Progress,Standard,29.91,Neutral,0,Desktop_App,Unknown,2022,1,January,3,1488,1–2 days,0.0,Unknown,No
TCKT_086868,2022-01-03 01:32:14,CUST_07911,Education,Phone_Transcript,Api_Integration,Billing_Problem,High,Open,Standard,29.91,Very_Negative,1,Web,Eu,2022,1,January,3,1488,1–2 days,20.0,Eu,No
TCKT_090496,2022-01-03 02:26:45,CUST_09237,Individual,Web_Form,Notifications,Feature_Request,Urgent,Resolved,Standard,2.0,Neutral,3,Api_Client,Latam,2022,1,January,3,1488,<12h,60.0,Latam,No
TCKT_095965,2022-01-03 02:39:52,CUST_07623,Small_Business,In_App,Analytics_Dashboard,Performance,Medium,In Progress,Standard,29.91,Very_Negative,1,Ios,Apac,2022,1,January,3,1488,1–2 days,20.0,Apac,No
TCKT_089266,2022-01-03 03:03:48,CUST_08239,Enterprise,In_App,Data_Export,Other,Low,Resolved,Standard,21.68,Neutral,3,Desktop_App,Apac,2022,1,January,3,1488,12–24h,60.0,Apac,No
TCKT_076633,2022-01-03 03:18:50,CUST_03545,Enterprise,Chat,Notifications,Security_Concern,High,Open,Gold,29.91,Negative,2,Web,Unknown,2022,1,January,3,1488,1–2 days,40.0,Unknown,No
TCKT_010916,2022-01-03 03:20:45,CUST_04242,Enterprise,Chat,Notifications,Account_Access,Low,Resolved,Standard,62.11,Negative,2,Android,Apac,2022,1,January,3,1488,2–3 days,40.0,Apac,Yes
TCKT_036784,2022-01-03 04:37:03,CUST_07988,Individual,Email,Notifications,Performance,High,Open,Standard,29.91,Very_Positive,0,Web,Latam,2022,1,January,3,1488,1–2 days,0.0,Latam,No
TCKT_005804,2022-01-03 05:38:12,CUST_04531,Education,Web_Form,Notifications,Other,Low,Resolved,Platinum,8.63,Neutral,4,Web,Apac,2022,1,January,3,1488,<12h,80.0,Apac,No
TCKT_048496,2022-01-03 06:02:07,CUST_02401,Individual,In_App,Analytics_Dashboard,Account_Access,Medium,In Progress,Gold,29.91,Very_Negative,1,Api_Client,Apac,2022,1,January,3,1488,1–2 days,20.0,Apac,No
TCKT_051018,2022-01-03 06:05:32,CUST_03653,Education,Web_Form,Mobile_App,Account_Access,Medium,Resolved,Platinum,31.78,Neutral,3,Ios,Unknown,2022,1,January,3,1488,1–2 days,60.0,Unknown,No
TCKT_056738,2022-01-03 06:10:45,CUST_04192,Education,Web_Form,Mobile_App,Feature_Request,Medium,Resolved,Gold,30.22,Very_Negative,2,Web,Eu,2022,1,January,3,1488,1–2 days,40.0,Eu,No
TCKT_089208,2022-01-03 06:27:36,CUST_09467,Individual,Chat,Api_Integration,Performance,Medium,On Hold,Standard,29.91,Neutral,0,Ios,Apac,2022,1,January,3,1488,1–2 days,0.0,Apac,No
TCKT_048832,2022-01-03 07:46:36,CUST_06454,Enterprise,Web_Form,Notifications,Other,High,In Progress,Standard,29.91,Neutral,0,Web,Apac,2022,1,January,3,1488,1–2 days,0.0,Apac,No
TCKT_062555,2022-01-03 08:04:20,CUST_02798,Individual,Phone_Transcript,Login_Auth,How_To,Low,On Hold,Platinum,29.91,Neutral,0,Android,Unknown,2022,1,January,3,1488,1–2 days,0.0,Unknown,No
TCKT_058131,2022-01-03 08:35:59,CUST_07892,Enterprise,Phone_Transcript,Mobile_App,Performance,Low,Resolved,Standard,27.52,Negative,3,Android,Eu,2022,1,January,3,1488,1–2 days,60.0,Eu,No
TCKT_005057,2022-01-03 08:41:58,CUST_00449,Individual,Chat,Analytics_Dashboard,Billing_Problem,Medium,In Progress,Standard,29.91,Negative,0,Api_Client,Apac,2022,1,January,3,1488,1–2 days,0.0,Apac,No
TCKT_064027,2022-01-03 09:00:28,CUST_06809,Non_Profit,In_App,Mobile_App,Account_Access,Medium,On Hold,Standard,29.91,Negative,0,Ios,Mea,2022,1,January,3,1488,1–2 days,0.0,Mea,No
TCKT_078727,2022-01-03 09:05:57,CUST_09427,Small_Business,Web_Form,Mobile_App,Feature_Request,Medium,Resolved,Standard,22.25,Negative,3,Web,Eu,2022,1,January,3,1488,12–24h,60.0,Eu,No
TCKT_024180,2022-01-03 09:40:27,CUST_06907,Small_Business,Email,Data_Export,How_To,Urgent,In Progress,Standard,29.91,Neutral,4,Desktop_App,Apac,2022,1,January,3,1488,1–2 days,80.0,Apac,No
TCKT_054706,2022-01-03 10:15:40,CUST_04386,Enterprise,Email,Mobile_App,How_To,Low,Closed No Action,Standard,76.56,Positive,4,Ios,Mea,2022,1,January,3,1488,3–7 days,80.0,Mea,Yes
TCKT_081377,2022-01-03 11:01:06,CUST_03335,Non_Profit,Web_Form,Data_Export,Performance,Medium,Resolved,Platinum,8.25,Negative,3,Android,Latam,2022,1,January,3,1488,<12h,60.0,Latam,No
TCKT_098347,2022-01-03 11:33:14,CUST_08784,Non_Profit,Chat,Notifications,Security_Concern,High,On Hold,Platinum,29.91,Negative,3,Web,Latam,2022,1,January,3,1488,1–2 days,60.0,Latam,No
TCKT_062998,2022-01-03 12:42:07,CUST_00154,Education,Phone_Transcript,Mobile_App,Other,Medium,Resolved,Standard,31.89,Very_Positive,0,Ios,Unknown,2022,1,January,3,1488,1–2 days,0.0,Unknown,No
TCKT_037635,2022-01-03 12:45:09,CUST_04369,Enterprise,Email,Mobile_App,Account_Access,Low,Resolved,Standard,16.52,Neutral,4,Api_Client,Eu,2022,1,January,3,1488,12–24h,80.0,Eu,No
TCKT_054165,2022-01-03 12:57:59,CUST_08724,Small_Business,Chat,Mobile_App,Billing_Problem,Medium,In Progress,Standard,29.91,Very_Negative,2,Api_Client,Latam,2022,1,January,3,1487,1–2 days,40.0,Latam,No
